company,experiance,city,salary,job_detail,required_skill
Amgen Inc,0 - 3 years,Hyderabad,0_to_3L,"['Role: Configuration and Deployment Management', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']","['cyber security', 'microsoft azure', 'it operations', 'qualys', 'risk assessment', 'python', 'owasp', 'soc', 'information security', 'networking', 'vulnerability management', 'siem', 'patch management', 'vulnerability assessment', 'nessus', 'qradar', 'powershell', 'penetration testing', 'aws']"
Raksha Technologies,0 - 3 years,Chennai( Velachery ),0_to_3L,"['Role: IT & Information Security - Other', 'Industry Type: Hardware & Networking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate']","['Log Analysis', 'SOC', 'Qradar', 'Security Monitoring']"
Leading Client,0 - 1 years,"Pune, Bengaluru",0_to_3L,"['Role: Cyber Security', 'Industry Type: Hardware & Networking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization, MCA in Any Specialization']","['Cyber Security', 'SOC', 'Penetration Testing', 'GRC', 'Security Operations']"
Amgen Inc,0 - 3 years,Hyderabad,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']","['security operations', 'soc', 'linux', 'vector', 'security operations center', 'cyber security', 'network security', 'arcsight', 'ceh', 'information security', 'networking', 'siem', 'vulnerability assessment', 'nessus', 'qradar', 'security+', 'comptia']"
Sharkstriker,0 - 1 years,Ahmedabad,0_to_3L,"['Role: Ex-Serviceman Unarmed Security Guard', 'Industry Type: IT Services & Consulting', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate']","['security analysis', 'cyber security', 'network security', 'owasp', 'arcsight', 'soc', 'ip', 'information security', 'vulnerability management', 'siem', 'vulnerability assessment', 'security audit', 'nessus', 'qradar', 'application security', 'firewall', 'ids', 'penetration testing', 'log analysis', 'nmap']"
Singhi & Co,0 - 3 years,Kolkata,0_to_3L,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization, BCA in Any Specialization, Diploma in Any Specialization, B.Sc in Any Specialization']","['Cyber Security', 'IT Risk Management', 'Ceh', 'ethical hacking']"
ConnectWise,1 - 6 years,"Mumbai, Pune",0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['security analysis', 'soc', 'siem', 'linux', 'security+', 'cyber security', 'arcsight', 'ceh', 'ip', 'information security', 'dlp', 'vulnerability management', 'vulnerability assessment', 'nessus', 'qradar', 'certified ethical hacker', 'splunk', 'ids', 'security monitoring', 'security services']"
ti Steps,0 - 2 years,"Hyderabad, Chennai, Bengaluru",1-3 Lacs P.A.,"['Role: Security Engineer / Analyst', 'Industry Type: Education / Training', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['Ethical Hacking', 'Cyber Security', 'Malware Analysis']"
Amgen Inc,0 - 3 years,Hyderabad,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']","['gcp', 'troubleshooting', 'information systems', 'protocols', 'aws', 'cyber security', 'arcsight', 'soc', 'information security', 'microsoft azure', 'networking', 'siem', 'vulnerability assessment', 'qradar']"
Indusind Bank,10 years,Mumbai,1.25-1.75 Lacs P.A.,"['Role: IT Security - Other', 'Industry Type: Banking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Sc in Any Specialization']","['DSS', 'Framework', 'IT Security']"
