company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,required_skill,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,"['financial analysis', 'information security', 'credit analysis', 'financial statement analysis', 'client relationship', 'stakeholder management', 'operations', 'client management', 'balance sheet', 'monitoring']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
strydo technologies,full stack data scientist,aiml,3-6,3,4.5,6,junior (3–5),tirupati,tirupati,tirupati,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,"['deep learning', 'cyber security', 'coding', 'machine learning', 'html', 'windows', 'troubleshooting', 'matlab', 'internship', 'python']",1,0,0,0,0,1,0,0,0,0,0,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: MCA in Computers, M.Tech in Electronics/Telecommunication']"
dexter capital advisors,business analyst,business analyst,1-5,1,3.0,5,junior (3–5),"mumbai, new delhi, jaipur, bengaluru",mumbai,mumbai,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,"['financial analysis', 'security analysis', 'analysts', 'data analysis', 'administration', 'investment banking', 'research analysis', 'investment', 'business analysis', 'market analysis', 'research', 'sales', 'sql', 'excel', 'portfolio management', 'data visualization', 'financial planning', 'finance']",0,1,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data analyst,analytics,8-10,8,9.0,10,senior (9–12),hyderabad,hyderabad,hyderabad,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,"['data modeling', 'visio', 'agile', 'data visualization', 'metadata', 'python', 'data analysis', 'data management', 'data analytics', 'business analysis', 'power bi', 'matrix', 'ehr', 'sql', 'tableau', 'access control', 'data privacy', 'acquisition', 'asset']",1,1,0,1,1,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Diploma in Mechanical, Any Graduate', 'PG: Any Postgraduate']"
inteliment,bi developer,analytics,2-6,2,4.0,6,junior (3–5),pune,pune,pune,city,5.5-15.5 Lacs P.A.,5.5-15.5 lacs,5.5,10.5,15.5,10-15 LPA,"['power bi', 'data modeling', 'sql', 'advanced excel', 'dashboards', 'data warehousing']",0,1,1,1,0,0,0,0,0,0,0,"['Role: BI Developer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Computers', 'PG: Master in IT Management in Any Specialization, Post Graduate Diploma in Information Technology in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Data Informatics, Maths, Computers, Cyber Security Engineering']"
amgen inc,risk analyst,risk analyst,4-7,4,5.5,7,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['risk management', 'presentation skills', 'incident management', 'troubleshooting', 'grc', 'it risk management', 'cyber security', 'information security', 'auditing', 'risk mitigation', 'risk analysis', 'it audit', 'risk control', 'cisa', 'sox', 'it infrastructure']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Risk Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Risk Management & Compliance', 'Employment Type: Full Time, Permanent', 'Role Category: Assessment / Advisory', 'UG: Any Graduate', 'PG: Any Postgraduate']"
university of southampton,full stack data scientist,aiml,1-4,1,2.5,4,junior (3–5),chandigarh,chandigarh tricity,chandigarh,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['css', 'icd', 'research', 'sql', 'data science', 'asp.net', 'logistic regression', 'reporting', 'c#', 'python', 'github', 'microsoft azure', 'sql server', 'pandas', 'tableau', 'r', 'hl7', 'delivery management', 'scrum', 'agile', 'unix', 'statistics']",1,1,0,0,1,0,1,0,0,0,1,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
merck sharp & dohme (msd),business intelligence & analytics,analytics,6-10,6,8.0,10,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['computer science', 'automation', 'information security', 'healthcare', 'microsoft', 'business solutions', 'operations', 'information technology', 'analytics', 'capacity planning']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Intelligence & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
merck sharp & dohme (msd),business analyst,business analyst,5-10,5,7.5,10,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['linux', 'analytical', 'information security', 'healthcare', 'web hosting', 'windows', 'microsoft', 'operations', 'analytics', 'sdlc']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['data modeling', 'visio', 'agile', 'data visualization', 'python', 'project management', 'data analytics', 'data management', 'data analysis', 'business analysis', 'machine learning', 'sql', 'r', 'java', 'devops', 'kanban', 'scrum', 'jira', 'agile methodology']",1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
