company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,skills,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,financial analysis,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,security,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,credit analysis,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,financial statement analysis,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,client relationship,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,stakeholder management,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,operations,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,client management,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,balance sheet,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,monitoring,0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
