company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,skills,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
strydo technologies,full stack data scientist,aiml,3-6,3,4.5,6,junior (3–5),tirupati,tirupati,tirupati,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,machine learning,1,0,0,0,0,1,0,0,0,0,0,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: MCA in Computers, M.Tech in Electronics/Telecommunication']"
strydo technologies,full stack data scientist,aiml,3-6,3,4.5,6,junior (3–5),tirupati,tirupati,tirupati,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,python,1,0,0,0,0,1,0,0,0,0,0,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: MCA in Computers, M.Tech in Electronics/Telecommunication']"
dexter capital advisors,business analyst,business analyst,1-5,1,3.0,5,junior (3–5),"mumbai, new delhi, jaipur, bengaluru",mumbai,mumbai,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,data analysis,0,1,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
dexter capital advisors,business analyst,business analyst,1-5,1,3.0,5,junior (3–5),"mumbai, new delhi, jaipur, bengaluru",mumbai,mumbai,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,sql,0,1,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
dexter capital advisors,business analyst,business analyst,1-5,1,3.0,5,junior (3–5),"mumbai, new delhi, jaipur, bengaluru",mumbai,mumbai,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,excel,0,1,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
dexter capital advisors,business analyst,business analyst,1-5,1,3.0,5,junior (3–5),"mumbai, new delhi, jaipur, bengaluru",mumbai,mumbai,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,power bi,0,1,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data analyst,analytics,8-10,8,9.0,10,senior (9–12),hyderabad,hyderabad,hyderabad,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,data modeling,1,1,0,1,1,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Diploma in Mechanical, Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data analyst,analytics,8-10,8,9.0,10,senior (9–12),hyderabad,hyderabad,hyderabad,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,power bi,1,1,0,1,1,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Diploma in Mechanical, Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data analyst,analytics,8-10,8,9.0,10,senior (9–12),hyderabad,hyderabad,hyderabad,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,python,1,1,0,1,1,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Diploma in Mechanical, Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data analyst,analytics,8-10,8,9.0,10,senior (9–12),hyderabad,hyderabad,hyderabad,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,data analysis,1,1,0,1,1,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Diploma in Mechanical, Any Graduate', 'PG: Any Postgraduate']"
